Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories,Efficiency,Quality
2366,6730,5.62,0,732,155,5,29,891,0.98125,good
2595,9994,8.01,1,690,228,9,33,1216,0.960580913,fair
2174,6456,4.61,3,774,176,8,0,718,0.987368421,good
2690,10375,8.22,0,675,239,15,36,1328,0.998007968,good
2433,8832,6.31,1,707,216,2,14,1023,0.985200846,good
2636,10120,7.23,7,649,306,10,2,1302,0.99382716,good
2320,7596,5.42,3,703,251,0,0,936,0.981481481,good
2352,7702,5.5,1,706,225,16,7,962,0.993801653,good
2900,12806,9.96,5,622,259,24,51,1597,0.968,fair
2278,6503,4.64,1,727,197,9,7,850,0.980079681,good
2749,11239,8.91,3,630,249,23,36,1412,0.97029703,fair
2636,12018,8.58,3,610,307,6,12,1348,0.99047619,good
2475,9189,6.56,1,603,312,0,0,1150,0.983805668,good
2790,13494,9.63,2,562,341,29,14,1548,0.985446985,good
2817,11654,8.32,1,572,356,11,20,1568,0.989626556,good
2540,9581,6.85,13,681,224,23,26,1187,0.984732824,good
2911,12558,9.03,3,523,345,17,36,1665,0.981891348,good
2736,11298,8.07,3,604,279,36,24,1444,0.983572895,good
2736,11442,8.17,1,599,320,16,18,1459,0.959899749,fair
2503,8979,6.41,2,735,306,0,0,1163,0.914634146,poor
2592,8244,5.89,3,575,295,2,10,1257,0.983903421,good
2511,8250,5.89,2,664,254,8,17,1152,0.981854839,good
2460,8493,6.06,5,692,211,21,20,1073,0.976047904,fair
2484,10394,8.23,3,741,197,10,38,1116,0.942549372,poor
2573,10875,8.83,4,605,252,0,26,1232,0.955512573,fair
3097,16689,12.96,9,467,412,13,31,1926,0.972515856,fair
2549,10104,7.21,4,631,265,14,15,1198,0.986767486,good
2698,12284,9.5,6,604,234,19,36,1364,0.970588235,fair
2753,11546,8.63,9,620,245,19,38,1404,1,good
2574,10077,7.2,7,577,322,2,11,1266,0.969626168,fair
2993,13280,9.48,12,554,414,8,23,1761,0.933572711,poor
2491,10408,8.37,10,642,191,6,31,1076,0.941278066,poor
2509,10226,8.2,6,594,240,4,22,1148,0.963946869,fair
2871,13193,9.47,7,556,350,15,21,1605,0.966315789,fair
2506,10297,8.17,13,734,179,17,35,1104,0.963906582,fair
2690,12213,9.88,6,675,236,5,35,1326,0.980079681,good
2565,11209,8.82,19,664,244,20,28,1245,0.958785249,fair
2988,15416,11.81,5,578,365,11,25,1758,0.973790323,fair
2567,10011,7.15,9,607,330,4,3,1260,0.962882096,fair
2948,14935,11.95,1,559,370,3,35,1728,0.986083499,good
2633,11333,8.09,3,575,377,0,0,1384,0.993166287,good
3109,16737,12.71,15,513,406,19,39,1962,0.982283465,good
2694,12168,8.74,4,560,382,8,5,1465,0.970645793,fair
2867,14095,10.8,5,496,340,10,39,1635,0.934397163,poor
2674,11003,7.86,0,519,384,9,4,1452,0.984790875,good
2667,11095,7.92,11,534,385,0,0,1442,0.936344969,poor
2677,12531,9.09,11,593,350,3,7,1430,0.981132075,good
2682,10781,7.7,2,589,348,13,13,1426,0.940298507,poor
2686,10481,7.54,4,554,312,18,22,1395,0.948164147,poor
2671,11966,8.6,5,645,308,13,11,1363,0.953781513,fair
2233,5850,4.18,0,766,148,6,8,713,0.956340956,fair
2385,7860,5.61,6,748,237,9,1,959,0.920903955,poor
2976,13757,10.69,1,461,424,2,22,1796,0.970212766,fair
2848,13719,10.79,0,576,361,6,27,1616,0.953539823,fair
3102,19944,14.24,5,534,306,49,56,1896,0.984513274,good
2516,9840,7.77,8,768,170,20,30,1097,0.945823928,poor
2997,16055,12.38,26,629,270,41,57,1729,0.960707269,fair
2028,3754,2.68,1,778,153,0,0,534,0.948387097,poor
2725,13514,9.65,11,603,362,4,6,1480,0.986363636,good
2361,6726,5.8,1,830,136,8,26,810,0.988207547,good
2602,11218,8.81,14,768,189,21,38,1212,0.974789916,fair
2328,7704,5.55,2,752,185,14,13,879,0.984649123,good
2614,10137,7.24,4,651,310,12,11,1282,0.942477876,poor
2055,5038,3.6,2,842,136,8,2,585,0.970401691,fair
2583,9654,6.95,6,658,299,7,3,1223,0.933723197,poor
2649,10521,7.51,3,567,351,7,2,1353,0.932773109,poor
2609,10615,7.58,4,633,299,15,17,1309,0.957264957,fair
2387,7881,5.63,3,708,246,14,4,994,0.960861057,fair
2617,12663,9.76,16,641,259,8,21,1293,0.985416667,good
2610,10390,7.47,2,650,289,10,11,1257,0.979118329,good
2411,8766,6.26,1,752,243,3,11,1031,0.918032787,poor
3177,19267,14.36,6,980,290,28,81,1950,0.956087824,fair
2728,12205,8.83,6,566,373,0,0,1454,0.955193483,fair
2502,10000,7.14,3,560,264,8,6,1133,0.894736842,poor
2555,10613,7.58,5,699,338,0,0,1260,0.962230216,fair
2490,10219,7.3,3,609,297,4,3,1172,0.965376782,fair
2879,13534,10.39,4,602,302,20,36,1613,0.922920892,poor
2538,9667,6.9,3,649,267,19,12,1174,0.949317739,poor
2580,10413,8.11,5,677,196,22,32,1168,0.951781971,poor
2811,13088,10.21,5,619,303,5,26,1500,0.960151803,fair
2883,13386,10.36,7,571,295,14,43,1600,0.978354978,good
2571,11061,7.95,2,646,321,7,0,1267,0.952475248,poor
2628,11555,9.11,1,660,247,8,25,1277,0.984126984,good
2348,8476,6.05,1,763,220,6,10,955,0.991189427,good
2484,10394,8.23,3,741,197,10,38,1116,0.942549372,poor
2366,8501,6.07,2,685,234,5,4,969,0.979423868,good
2914,12179,9.5,4,624,278,15,37,1588,0.991718427,good
2284,7050,5.03,2,747,196,4,10,830,0.982261641,good
2527,11177,9.05,3,754,195,9,31,1140,0.961145194,fair
2619,10622,7.58,4,687,209,20,35,1215,0.978431373,good
2710,14239,10.23,0,599,278,23,30,1416,0.977366255,good
2839,13242,10.51,7,626,284,12,32,1509,0.958785249,fair
2749,11476,8.19,8,636,304,17,22,1426,0.965437788,fair
2553,10905,8.66,4,728,226,26,19,1192,0.982387476,good
2396,7912,5.65,4,726,182,15,13,908,0.96875,fair
2586,9858,7.99,4,722,188,18,32,1130,0.950113379,poor
2364,7677,5.48,7,765,209,15,10,935,0.979284369,good
2247,7074,5.11,0,701,208,0,0,816,0.981927711,good
2281,6982,4.99,3,711,231,0,0,868,0.950113379,poor
2592,9726,6.94,8,719,265,7,8,1176,0.978902954,good
2441,7867,5.62,2,723,216,10,17,1021,0.956158664,fair
2511,9370,6.69,0,673,276,5,7,1133,0.969767442,fair
2625,10130,7.29,1,712,298,0,0,1209,0.970654628,fair
2577,9773,6.98,2,722,259,3,13,1173,0.962184874,fair
2437,8092,5.78,4,712,252,0,0,1008,0.961923848,fair
2575,9754,6.96,7,630,311,0,0,1206,0.976793249,fair
2604,8796,6.28,3,671,270,13,12,1208,0.95106383,poor
2641,10191,7.28,4,685,252,14,19,1229,0.982721382,good
2385,8252,5.96,3,752,199,18,8,946,0.950749465,poor
2296,6245,4.46,4,775,170,17,11,815,0.969026549,fair
2546,10148,8.11,8,767,170,12,39,1113,0.954372624,fair
2254,6328,4.52,5,713,176,23,2,806,0.982721382,good
2657,9708,7.94,1,710,219,20,28,1243,0.995824635,good
2617,10082,8,5,712,191,23,35,1212,0.977319588,good
2408,9051,7.21,6,760,129,33,33,973,0.973737374,fair
3102,19944,14.24,5,534,306,49,56,1896,0.984513274,good
2857,12121,9.1,5,607,316,14,34,1564,0.983706721,good
2608,11586,8.27,20,609,327,7,6,1312,0.955284553,fair
2613,11666,9.07,5,696,201,13,38,1237,0.962053571,fair
2636,10952,8.62,7,724,217,9,42,1265,0.951882845,poor
2619,10110,8.09,6,709,213,3,37,1204,0.975824176,fair
2869,12629,9.89,10,654,276,24,31,1515,0.957081545,fair
2839,12307,9.6,1,649,270,14,41,1501,0.982490272,good
2534,10704,7.64,0,599,304,15,8,1241,0.919354839,poor
2588,11116,8.83,3,661,260,1,22,1228,0.980810235,good
2716,11639,8.31,6,644,296,22,9,1336,0.980263158,good
3015,14154,10.72,6,606,317,21,40,1705,0.946428571,poor
2313,7094,5.07,1,708,205,12,11,881,0.969957082,fair
2568,10721,8.52,5,709,220,14,31,1192,0.985263158,good
2694,11688,9.23,5,659,263,13,30,1336,0.969639469,fair
2371,7486,6.24,0,704,189,0,20,935,0.968944099,fair
2748,13194,9.42,4,599,323,24,11,1443,0.973360656,fair
2602,10550,7.53,3,643,277,17,15,1265,0.975359343,fair
2744,10785,8.5,3,679,212,19,43,1323,0.989648033,good
2645,10539,8.28,5,704,197,10,46,1221,0.971238938,fair
2500,10790,7.76,0,710,269,5,4,1147,0.957575758,fair
2334,8362,5.97,4,722,213,6,4,904,0.972457627,fair
2828,13393,9.56,1,575,364,19,10,1558,0.931726908,poor
2609,10907,7.79,5,635,298,4,5,1258,0.968190855,fair
2801,12104,9.45,4,631,258,15,33,1433,0.9500998,poor
2669,12370,8.96,5,583,346,6,4,1404,0.976842105,fair
2786,13076,10.22,7,613,280,17,30,1473,0.986547085,good
2402,7227,5.16,0,777,233,5,4,956,0.953091684,fair
2727,11728,9.18,4,678,258,2,33,1362,0.995991984,good
2512,9572,7.57,2,712,179,15,35,1091,0.944123314,poor
2782,13326,10.34,3,570,318,8,25,1502,0.951171875,poor
2366,8501,6.07,2,685,234,5,4,969,0.979423868,good
2606,11896,8.49,4,594,268,12,29,1289,0.961254613,fair
2721,12250,9.61,2,621,208,29,49,1377,0.960431655,fair
2994,15250,11.88,1,487,285,16,55,1685,0.981132075,good
2790,13313,9.51,15,533,354,12,14,1519,0.921940928,poor
2955,13517,10.72,2,593,330,14,29,1655,0.932135729,poor
2933,13206,10.17,5,605,265,20,49,1608,0.950718686,poor
2817,12555,9.65,2,625,258,28,41,1499,0.946954813,poor
2563,10001,7.2,12,598,295,10,1,1213,0.952380952,poor
2717,12567,9.91,5,612,265,18,26,1375,0.910394265,poor
2719,11119,7.94,11,488,394,0,0,1448,0.936605317,poor
2377,7841,5.6,8,640,296,0,0,1058,0.920913884,poor
2669,11324,8.81,1,553,306,1,23,1368,0.982524272,good
2791,13047,10.26,13,616,259,16,37,1456,0.982142857,good
2520,9979,7.13,2,620,316,0,0,1197,0.986984816,good
2659,11345,9.04,14,679,225,20,28,1288,0.954954955,fair
2426,7917,5.65,7,658,254,0,0,1036,0.966535433,fair
2205,6044,4.32,3,718,214,0,0,785,0.951076321,poor
2654,10806,8.71,0,638,264,1,26,1273,0.938034188,poor
2806,11660,9.27,3,601,247,8,45,1460,0.951724138,poor
2645,11611,9.23,2,662,235,3,31,1276,0.987234043,good
2599,10382,7.41,4,685,248,16,21,1214,0.955375254,fair
2839,14204,10.14,4,566,354,10,17,1598,0.960238569,fair
2798,11802,8.43,3,598,304,9,26,1477,0.965844402,fair
2543,10018,8.37,0,653,222,8,30,1158,0.938247012,poor
2472,9932,7.15,8,650,288,0,0,1116,0.977777778,good
2540,9545,6.82,5,664,247,24,10,1175,0.992031873,good
2479,9204,6.57,2,685,216,18,19,1083,0.963963964,fair
2464,9768,7.04,1,740,256,0,0,1056,0.900414938,poor
2347,8387,6.11,0,726,219,4,9,938,0.965116279,fair
2526,10225,7.3,0,635,274,5,10,1188,0.993603412,good
2857,12121,9.1,5,607,316,14,34,1564,0.983706721,good
2622,8547,6.1,4,605,334,3,8,1303,0.935091278,poor
2869,13503,9.64,7,606,264,25,52,1546,0.791208791,poor
2879,11222,9.19,6,555,287,9,34,1507,0.960644007,fair
2295,6857,4.9,2,649,227,7,2,891,0.960377358,fair
2829,11860,9.47,2,575,289,13,43,1526,0.968810916,fair
2909,13874,9.91,3,484,443,0,0,1699,0.939655172,poor
2691,10429,7.45,6,589,314,9,21,1384,0.949640288,poor
2606,11896,8.49,4,594,268,12,29,1289,0.961254613,fair
